Case ID, Event ID, Activity, Timestamp, Resource, Cost
1, 0, Customer has a problem, 05/09/2021 16:07:59, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
1, 1, Customer has a problem - form 928910622370, 05/09/2021 16:07:59, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
1, 2, Get problem description, 05/09/2021 16:08:00, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
1, 3, Ask 2d level support, 05/09/2021 16:08:06, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
1, 4, Ask 2d level support, 05/09/2021 16:08:06, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
1, 5, Ask developer, 05/09/2021 16:08:08, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
1, 6, Provide feedback for 2nd level support, 05/09/2021 16:08:08, 0x77c615cc8942329cb176e56ff0de2f042c72fc20, 20000000000
1, 7, Provide feedback for 1st level support, 05/09/2021 16:08:10, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
1, 8, Provide feedback for account manager, 05/09/2021 16:08:12, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
1, 9, Explain solution, 05/09/2021 16:08:13, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
2, 10, Customer has a problem, 05/09/2021 16:08:14, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
2, 11, Get problem description, 05/09/2021 16:08:15, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
2, 12, Ask 1st level support, 05/09/2021 16:08:18, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
2, 13, Ask 2d level support, 05/09/2021 16:08:21, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
2, 14, Ask 2d level support - form 715149287160, 05/09/2021 16:08:21, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
2, 15, Ask developer, 16:08:23, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
2, 16, Provide feedback for 2nd level support, 05/09/2021 16:08:23, 0x77c615cc8942329cb176e56ff0de2f042c72fc20, 20000000000
2, 17, Provide feedback for 2nd level support - form 345619115135, 05/09/2021 16:08:23, 0x77c615cc8942329cb176e56ff0de2f042c72fc20, 20000000000
2, 18, Provide feedback for 1st level support, 05/09/2021 16:08:25, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
2, 19, Provide feedback for account manager, 05/09/2021 16:08:27, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
2, 20, Explain solution, 05/09/2021 16:08:29, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
3, 21, Get problem description, 05/09/2021 16:08:30, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
3, 22, Get problem description, 05/09/2021 16:08:30, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
3, 23, Explain solution, 05/09/2021 16:08:33, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
4, 24, Customer has a problem, 05/09/2021 16:08:34, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
4, 25, Get problem description, 16.08.35, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
4, 26, Ask 1st level support, 05/09/2021 16:08:38, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
4, 27, Ask 1st level support, 05/09/2021 16:08:38, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
4, 28, Ask 2d level support, 05/09/2021 16:08:40, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
4, 29, Provide feedback for 1st level support, 05/09/2021 16:08:44, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
4, 30, Provide feedback for account manager, 05/09/2021 16:08:47, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
4, 31, Explain solution, 05/09/2021 16:08:49, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
4, 32, Explain solution - form 173322330103, 05/09/2021 16:08:49, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
5, 33, Customer has a problem, 05/09/2021 16:08:51, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
5, 34, Get problem description, 05/09/2021 16:08:51, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
5, 35, Get problem description, 05/09/2021 16:08:51, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
5, 36, Explain solution, 05/09/2021 16:08:54, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
6, 37, Get problem description, 05/09/2021 16:08:56, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
6, 38, Ask 1st level support, 05/09/2021 16:08:59, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
6, 39, Ask 2d level support, 05/09/2021 16:09:01, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
6, 40, Ask developer, 05/09/2021 16:09:03, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
6, 41, Provide feedback for 2nd level support, 05/09/2021 16:09:03, 0x77c615cc8942329cb176e56ff0de2f042c72fc20, 20000000000
6, 42, Provide feedback for 2nd level support - form 923275853171, 05/09/2021 16:09:03, 0x77c615cc8942329cb176e56ff0de2f042c72fc20, 20000000000
6, 43, Provide feedback for 1st level support, 05/09/2021 16:09:05, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
6, 44, Provide feedback for 1st level support, 05/09/2021 16:09:05, 0x47b9f0f61dbeb1079ac8dc74f972249817f13381, 20000000000
6, 45, Provide feedback for account manager, 05/09/2021 16:09:07, 0x66780e322f8157bf10c9827bb3ba9669dd8c8982, 20000000000
6, 46, Explain solution, 05/09/2021 16:09:09, 0xe824a2b99ebe304833476a8cf7bf74d50399c2c4, 20000000000
7, 47, Customer has a problem, 05/09/2021 16:09:10, 0x18a1e642f6e984d3a7736f4ce0484488417fb85e, 20000000000
