Case ID, Event ID, Activity, Timestamp, Resource, Cost
1, 0, Get problem description, 06/05/2021 21:53:35, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
1, 1, Explain solution, 06/05/2021 21:53:38, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
2, 2, Customer has a problem, 06/05/2021 21:53:40, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
2, 3, Get problem description, 06/05/2021 21:53:41, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
2, 4, Ask 1st level support, 06/05/2021 21:53:45, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
2, 5, Ask 2d level support, 06/05/2021 21:53:47, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
2, 6, Ask developer, 06/05/2021 21:53:49, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
2, 7, Provide feedback for 2nd level support, 06/05/2021 21:53:50, 0x45693a3844b50ad836d1e428c5251afa365d3ae0, 20000000000
2, 8, Provide feedback for 1st level support, 06/05/2021 21:53:52, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
2, 9, Provide feedback for account manager, 06/05/2021 21:53:54, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
2, 10, Explain solution, 06/05/2021 21:53:55, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
3, 11, Customer has a problem, 06/05/2021 21:53:56, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
3, 12, Explain solution, 06/05/2021 21:54:00, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
4, 13, Customer has a problem, 06/05/2021 21:54:02, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
4, 14, Ask 1st level support, 06/05/2021 21:54:06, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
4, 15, Ask 2d level support, 06/05/2021 21:54:08, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
4, 16, Provide feedback for account manager, 06/05/2021 21:54:15, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
5, 17, Customer has a problem, 06/05/2021 21:54:18, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
5, 18, Get problem description, 06/05/2021 21:54:19, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
5, 19, Ask 1st level support, 06/05/2021 21:54:22, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
5, 20, Ask 2d level support, 06/05/2021 21:54:24, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
5, 21, Provide feedback for 2nd level support, 06/05/2021 21:54:27, 0x45693a3844b50ad836d1e428c5251afa365d3ae0, 20000000000
5, 22, Provide feedback for 1st level support, 06/05/2021 21:54:29, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
5, 23, Provide feedback for account manager, 06/05/2021 21:54:31, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
5, 24, Explain solution, 06/05/2021 21:54:33, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
6, 25, Customer has a problem, 06/05/2021 21:54:34, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
6, 26, Get problem description, 06/05/2021 21:54:35, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
6, 27, Ask 2d level support, 06/05/2021 21:54:40, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
6, 28, Provide feedback for account manager, 06/05/2021 21:54:47, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
6, 29, Explain solution, 06/05/2021 21:54:49, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
7, 30, Customer has a problem, 05/06/2021 21:54:51, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
7, 31, Get problem description, 06/05/2021 21:54:51, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
7, 32, Ask 1st level support, 06/05/2021 21:54:55, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
7, 33, Ask 2d level support, 06/05/2021 21:54:57, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
7, 34, Ask developer, 06/05/2021 21:54:59, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
7, 35, Provide feedback for 2nd level support, 06/05/2021 21:55:00, 0x45693a3844b50ad836d1e428c5251afa365d3ae0, 20000000000
7, 36, Provide feedback for 1st level support, 06/05/2021 21:55:02, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
7, 37, Provide feedback for account manager, 06/05/2021 21:55:04, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
7, 38, Explain solution, 06/05/2021 21:55:06, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
8, 39, Customer has a problem, 06/05/2021 21:55:07, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
8, 40, Explain solution, 06/05/2021 21:55:10, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
9, 41, Customer has a problem, 06/05/2021 21:55:12, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
9, 42, Get problem description, 06/05/2021 21:55:13, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
9, 43, Explain solution, 06/05/2021 21:55:15, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
10, 44, Customer has a problem, 06/05/2021 21:55:17, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
10, 45, Get problem description, 05/06/2021 21:55:17, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
10, 46, Ask 1st level support, 06/05/2021 21:55:21, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
10, 47, Ask 2d level support, 06/05/2021 21:55:23, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
10, 48, Provide feedback for 1st level support, 06/05/2021 21:55:27, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
10, 49, Provide feedback for account manager, 06/05/2021 21:55:29, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
10, 50, Explain solution, 06/05/2021 21:55:30, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
11, 51, Customer has a problem, 06/05/2021 21:55:31, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
11, 52, Get problem description, 06/05/2021 21:55:32, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
11, 53, Ask 1st level support, 06/05/2021 21:55:36, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
11, 54, Ask 2d level support, 06/05/2021 21:55:38, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
11, 55, Ask developer, 06/05/2021 21:55:40, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
11, 56, Provide feedback for 2nd level support, 06/05/2021 21:55:41, 0x45693a3844b50ad836d1e428c5251afa365d3ae0, 20000000000
11, 57, Provide feedback for 1st level support, 06/05/2021 21:55:43, 0x60b97a8f10017f65e230af6ea2fb2c6de0d1d1e5, 20000000000
11, 58, Provide feedback for account manager, 06/05/2021 21:55:45, 0x756aedec9beb1a7ca19d519fd9c6dc4fc136f770, 20000000000
11, 59, Explain solution, 06/05/2021 21:55:46, 0x6e57b00f96b21dad77e95e2b7106722bcc25119a, 20000000000
12, 60, Customer has a problem, 06/05/2021 21:55:48, 0xfaf582ef5b657a596d51e5057e9630dd1373975b, 20000000000
