Case ID, Event ID, Activity, Timestamp, Resource, Cost
1, 0, Customer has a problem, 06/05/2021 16:30:09, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
1, 1, Ask 1st level support, 06/05/2021 16:30:14, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
1, 2, Ask 2d level support, 06/05/2021 16:30:16, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
1, 3, Provide feedback for 1st level support, 06/05/2021 16:30:20, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
1, 4, Provide feedback for account manager, 06/05/2021 16:30:22, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
1, 5, Explain solution, 06/05/2021 16:30:24, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
2, 6, Customer has a problem, 06/05/2021 16:30:26, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
2, 7, Get problem description, 06/05/2021 16:30:27, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
2, 8, Explain solution, 06/05/2021 16:30:29, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
3, 9, Customer has a problem, 06/05/2021 16:30:31, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
3, 10, Explain solution, 06/05/2021 16:30:34, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
4, 11, Get problem description, 06/05/2021 16:30:36, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
4, 12, Ask 1st level support, 06/05/2021 16:30:40, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
4, 13, Ask 2d level support, 06/05/2021 16:30:42, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
4, 14, Ask developer, 06/05/2021 16:30:44, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
4, 15, Provide feedback for 2nd level support, 06/05/2021 16:30:45, 0x50b5049c1c745a84ad23cecd91b7d8410d036503, 20000000000
4, 16, Provide feedback for 1st level support, 06/05/2021 16:30:47, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
4, 17, Provide feedback for account manager, 06/05/2021 16:30:49, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
4, 18, Explain solution, 06/05/2021 16:30:50, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
5, 19, Customer has a problem, 06/05/2021 16:30:51, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
5, 20, Get problem description, 06/05/2021 16:30:52, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
5, 21, Explain solution, 06/05/2021 16:30:55, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
6, 22, Get problem description, 06/05/2021 16:30:57, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
6, 23, Ask 1st level support, 06/05/2021 16:31:00, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
6, 24, Ask developer, 06/05/2021 16:31:05, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
6, 25, Provide feedback for 2nd level support, 06/05/2021 16:31:05, 0x50b5049c1c745a84ad23cecd91b7d8410d036503, 20000000000
6, 26, Provide feedback for 1st level support, 06/05/2021 16:31:07, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
6, 27, Provide feedback for account manager, 06/05/2021 16:31:09, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
6, 28, Explain solution, 06/05/2021 16:31:10, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
7, 29, Customer has a problem, 06/05/2021 16:31:12, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
8, 30, Customer has a problem, 06/05/2021 16:31:16, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
8, 31, Get problem description, 06/05/2021 16:31:17, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
8, 32, Explain solution, 06/05/2021 16:31:19, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
9, 33, Customer has a problem, 06/05/2021 16:31:21, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
9, 34, Get problem description, 06/05/2021 16:31:22, 0xb918e0175e90f718c94a5a1b1035f4abb50a84c1, 20000000000
9, 35, Ask 1st level support, 06/05/2021 16:31:25, 0x8e27a8044ea0ba2c9548d5efd52cc0faeafdbc28, 20000000000
9, 36, Ask 2d level support, 06/05/2021 16:31:27, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
9, 37, Ask developer, 06/05/2021 16:31:29, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
9, 38, Provide feedback for 2nd level support, 06/05/2021 16:31:30, 0x50b5049c1c745a84ad23cecd91b7d8410d036503, 20000000000
9, 39, Provide feedback for 1st level support, 06/05/2021 16:31:32, 0x91adb5fb24c32caa848ed5b8fafac3718c441e4f, 20000000000
9, 40, Provide feedback for account manager, 06/05/2021 16:31:34, 0xec90a0a02da7ec5b7957110b4abc9337c0a4fa9b, 20000000000
